IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,iso3,Location,Period type,Year,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,SuicideRatesPer100k,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2021,True,Sex,Both sexes,SEX_BTSX,,,,,,,,,,12.67,,,6.77,,18.15,12.7 [6.8-18.1],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2021,True,Sex,Both sexes,SEX_BTSX,,,,,,,,,,7.61,,,4.24,,13.75,7.6 [4.2-13.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2020,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.13,,,7.12,,18.6,13.1 [7.1-18.6],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2020,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,7.61,,,4.25,,13.71,7.6 [4.2-13.7],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.36,,,7.23,,18.81,13.4 [7.2-18.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.39,,,4.66,,15.01,8.4 [4.7-15.0],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2018,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.42,,,7.32,,18.69,13.4 [7.3-18.7],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2018,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.28,,,4.59,,14.8,8.3 [4.6-14.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2017,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.41,,,7.36,,18.34,13.4 [7.4-18.3],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2017,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.71,,,4.78,,15.54,8.7 [4.8-15.5],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2016,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.61,,,7.53,,18.48,13.6 [7.5-18.5],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2016,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,9.18,,,5.01,,16.34,9.2 [5.0-16.3],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2015,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.97,,,7.77,,18.83,14.0 [7.8-18.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2015,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,9.26,,,5.04,,16.43,9.3 [5.0-16.4],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2014,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,14.78,,,8.26,,19.71,14.8 [8.3-19.7],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2014,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,9.02,,,4.91,,16.01,9.0 [4.9-16.0],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2013,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,15.41,,,8.7,,20.78,15.4 [8.7-20.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2013,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,9.02,,,4.92,,15.98,9.0 [4.9-16.0],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2012,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,15.42,,,8.92,,21.44,15.4 [8.9-21.4],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2012,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.98,,,4.91,,15.85,9.0 [4.9-15.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2011,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,15.12,,,9.04,,21.79,15.1 [9.0-21.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2011,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,9.14,,,5.0,,16.04,9.1 [5.0-16.0],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2010,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,14.54,,,8.98,,21.43,14.5 [9.0-21.4],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2010,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,9.09,,,4.98,,15.83,9.1 [5.0-15.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2009,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,12.94,,,8.33,,19.45,12.9 [8.3-19.5],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2009,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.82,,,4.82,,15.29,8.8 [4.8-15.3],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2008,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,11.87,,,7.89,,18.2,11.9 [7.9-18.2],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2008,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.75,,,4.79,,15.11,8.8 [4.8-15.1],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2007,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,11.4,,,7.67,,17.67,11.4 [7.7-17.7],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2007,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.33,,,4.56,,14.4,8.3 [4.6-14.4],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2006,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,11.02,,,7.33,,16.92,11.0 [7.3-16.9],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2006,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.11,,,4.47,,14.04,8.1 [4.5-14.0],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2005,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.94,,,7.24,,16.67,10.9 [7.2-16.7],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2005,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.11,,,4.49,,13.98,8.1 [4.5-14.0],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2004,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.89,,,7.17,,16.53,10.9 [7.2-16.5],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2004,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.27,,,4.57,,14.2,8.3 [4.6-14.2],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2003,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,11.72,,,7.65,,17.64,11.7 [7.7-17.6],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2003,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.48,,,4.73,,14.46,8.5 [4.7-14.5],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2002,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,11.78,,,7.66,,17.64,11.8 [7.7-17.6],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2002,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.75,,,4.89,,14.85,8.7 [4.9-14.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2001,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,11.94,,,7.77,,17.96,11.9 [7.8-18.0],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2001,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.75,,,4.92,,14.72,8.8 [4.9-14.7],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2000,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,12.07,,,7.91,,18.29,12.1 [7.9-18.3],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2000,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.94,,,5.04,,14.96,8.9 [5.0-15.0],,,EN,2025-01-28T03:00:00.000Z
